"Week","spss","Stata","R","SAS"
"2004-01-04",27,4,37,70
"2004-01-11",33,6,39,75
"2004-01-18",30,6,40,74
"2004-01-25",29,5,41,75
"2004-02-01",30,6,41,74
"2004-02-08",30,8,40,77
"2004-02-15",33,7,42,78
"2004-02-22",31,7,42,76
"2004-02-29",37,6,41,72
"2004-03-07",33,6,43,70
"2004-03-14",34,7,39,74
"2004-03-21",29,6,42,69
"2004-03-28",33,7,39,76
"2004-04-04",33,7,39,73
"2004-04-11",32,8,38,78
"2004-04-18",35,8,50,74
"2004-04-25",35,7,50,75
"2004-05-02",32,7,48,81
"2004-05-09",32,7,47,71
"2004-05-16",33,7,44,71
"2004-05-23",30,6,44,73
"2004-05-30",31,6,43,71
"2004-06-06",30,6,42,75
"2004-06-13",29,6,42,72
"2004-06-20",27,6,41,72
"2004-06-27",27,6,42,72
"2004-07-04",26,6,43,72
"2004-07-11",25,6,41,70
"2004-07-18",24,6,41,74
"2004-07-25",27,6,39,71
"2004-08-01",25,6,44,66
"2004-08-08",24,5,42,68
"2004-08-15",25,6,40,68
"2004-08-22",25,6,38,69
"2004-08-29",28,5,41,74
"2004-09-05",28,6,43,75
"2004-09-12",27,6,45,75
"2004-09-19",29,7,43,74
"2004-09-26",28,6,44,74
"2004-10-03",32,7,45,73
"2004-10-10",30,7,46,71
"2004-10-17",31,7,49,73
"2004-10-24",33,6,43,69
"2004-10-31",31,6,47,71
"2004-11-07",31,6,47,64
"2004-11-14",31,7,44,69
"2004-11-21",31,6,46,68
"2004-11-28",35,7,45,70
"2004-12-05",32,6,47,67
"2004-12-12",30,6,43,64
"2004-12-19",24,5,43,56
"2004-12-26",20,4,42,51
"2005-01-02",24,4,42,62
"2005-01-09",29,5,45,69
"2005-01-16",30,6,46,71
"2005-01-23",29,6,46,69
"2005-01-30",28,6,49,73
"2005-02-06",27,7,48,70
"2005-02-13",29,7,47,71
"2005-02-20",30,7,51,70
"2005-02-27",29,7,46,71
"2005-03-06",30,7,48,71
"2005-03-13",29,7,49,70
"2005-03-20",29,7,47,67
"2005-03-27",29,6,44,66
"2005-04-03",31,7,47,66
"2005-04-10",31,7,47,73
"2005-04-17",33,8,47,70
"2005-04-24",32,8,48,72
"2005-05-01",32,7,48,66
"2005-05-08",31,7,47,70
"2005-05-15",30,6,48,69
"2005-05-22",29,6,49,74
"2005-05-29",28,6,49,72
"2005-06-05",28,6,47,72
"2005-06-12",26,6,48,72
"2005-06-19",26,6,47,68
"2005-06-26",25,6,47,72
"2005-07-03",23,6,47,67
"2005-07-10",24,6,46,68
"2005-07-17",22,6,46,71
"2005-07-24",23,6,46,69
"2005-07-31",24,6,47,64
"2005-08-07",22,7,46,65
"2005-08-14",22,6,45,64
